ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4388,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,1,315,446,1346,327,模板特征,,,,,2016/4/13 10:33:37
4389,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,2,1195,298,936,205,模板特征,,,,,2016/4/13 10:33:37
4390,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,3,322,506,1336,257,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 10:33:37
4391,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,4,319,844,1345,338,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 10:33:37
4392,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,5,322,1254,1345,338,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/13 10:33:37
4393,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,6,1670,503,1352,103,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/13 10:33:37
4394,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,7,1670,672,1352,97,表头框,BIinvoiceHdr,发票表头,sLCNoAdnData,信用证号与日期,2016/4/13 10:33:37
4395,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,8,1667,851,1361,331,表头框,BIinvoiceHdr,发票表头,sLcBank,开证行,2016/4/13 10:33:37
4396,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,9,325,1651,560,97,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/13 10:33:37
4397,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,10,894,1648,776,97,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/13 10:33:37
4398,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,11,325,1805,566,131,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 10:33:37
4399,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,12,894,1802,779,131,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 10:33:37
4400,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,13,1673,1238,1361,695,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/13 10:33:37
4401,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,14,2021,2039,772,57,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/13 10:33:37
4402,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,15,299,2087,2789,2603,表体外框,,,,,2016/4/13 10:33:37
4403,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,16,330,2090,557,2583,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/13 10:33:37
4404,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,17,883,2090,781,2583,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 10:33:37
4405,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,18,1657,2094,574,2572,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 10:33:37
4406,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,19,2225,2104,457,2559,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 10:33:37
4407,D:\Bill_template\invoice\FineLaneVietinvoice20160413095458.jpg,FineLaneViet,invoice,复杂模版,FALSE,FALSE,20,2668,2104,392,2559,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 10:33:37
