ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4471,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,1,909,49,1441,772,模板特征,,,,,2016/4/13 13:55:57
4472,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,2,915,164,1627,120,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 13:55:57
4473,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,3,263,1019,1572,548,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 13:55:57
4474,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,4,262,1652,1582,153,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/13 13:55:57
4475,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,5,253,1872,1518,189,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/13 13:55:57
4476,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,6,1926,1040,920,113,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/13 13:55:57
4477,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,7,1923,1249,827,113,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 13:55:57
4478,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,8,1918,1466,1001,110,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 13:55:57
4479,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,9,1912,1881,1024,180,表头框,BIinvoiceHdr,发票表头,sPayTerms,付款方式,2016/4/13 13:55:57
4480,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,10,133,2367,3005,2249,表体外框,,,,,2016/4/13 13:55:57
4481,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,11,221,2391,1604,2242,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 13:55:57
4482,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,12,1835,2388,420,2224,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 13:55:57
4483,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,13,2248,2381,303,2238,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 13:55:57
4484,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,14,2548,2377,536,2249,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 13:55:57
4485,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,15,1941,2258,242,119,表头框,BIinvoiceHdr,发票表头,sMeasurement,计量单位,2016/4/13 13:55:57
4486,D:\Bill_template\invoice\LotteChemicalTitaninvoice20160413132906.jpg,LotteChemicalTitan,invoice,复杂模版,FALSE,FALSE,16,2674,2268,307,103,表头框,BIinvoiceHdr,发票表头,sCurrency,币种,2016/4/13 13:55:57
