ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4507,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,1,415,570,2452,703,模板特征,,,,,2016/4/13 14:21:48
4508,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,2,489,554,2427,453,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 14:21:48
4509,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,3,468,1267,1605,474,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 14:21:48
4510,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,4,2318,1258,824,108,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/13 14:21:48
4511,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,5,2337,1363,641,96,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/13 14:21:48
4512,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,6,2337,1447,502,133,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 14:21:48
4513,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,7,2020,1971,688,99,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/13 14:21:48
4514,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,8,375,2064,2885,2590,表体外框,,,,,2016/4/13 14:21:48
4515,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,9,459,2076,280,2552,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/13 14:21:48
4516,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,10,747,2068,934,2556,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 14:21:48
4517,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,11,1674,2072,368,2567,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 14:21:48
4518,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,12,2042,2068,371,2544,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 14:21:48
4519,D:\Bill_template\invoice\SHGongchengInterTradeinvoice20160413140935.jpg,SHGongchengInterTrade,invoice,复杂模版,FALSE,FALSE,13,2409,2080,552,2544,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 14:21:48
