ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
3234,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,1,690,296,1238,204,模板特征,,,sExporter,,2016/4/1 16:38:07
3235,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,2,160,425,1232,432,模板特征,,,sExporter,,2016/4/1 16:38:07
3236,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,3,157,494,1226,359,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/1 16:38:07
3237,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,4,148,923,1238,425,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/1 16:38:07
3238,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,5,154,1421,1232,460,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/1 16:38:07
3239,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,6,1398,488,1648,85,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/1 16:38:07
3240,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,7,1402,633,1651,85,表头框,BIinvoiceHdr,发票表头,sLCNoAdnData,信用证号与日期,2016/4/1 16:38:07
3241,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,8,1395,781,1667,82,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/1 16:38:07
3242,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,9,1398,872,1670,492,表头框,BIinvoiceHdr,发票表头,sLcBank,开证行,2016/4/1 16:38:07
3243,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,10,1395,1424,867,145,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/1 16:38:07
3244,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,11,2268,1430,788,145,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/1 16:38:07
3245,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,12,1395,1651,864,236,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/1 16:38:07
3246,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,13,2265,1651,803,242,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/1 16:38:07
3247,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,14,1443,2022,872,63,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/1 16:38:07
3248,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,15,126,2092,3002,2208,表体外框,,,sExporter,,2016/4/1 16:38:07
3249,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,16,132,2098,586,2067,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/1 16:38:07
3250,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,17,727,2095,861,2054,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/1 16:38:07
3251,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,18,1597,2095,671,2057,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/1 16:38:07
3252,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,19,2262,2095,422,2057,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/1 16:38:07
3253,D:\Bill_template\invoice\SamsungTradingSHinvoice20160401160014.jpg,SamsungTradingSH,invoice,复杂模版,FALSE,FALSE,20,2687,2092,381,2060,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/1 16:38:07
