ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
5977,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,1,810,32,935,266,模板特征,,,,,2016/8/24 16:53:08
5978,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,2,573,304,740,46,模板特征,,,,,2016/8/24 16:53:08
5979,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,3,1819,298,439,62,模板特征,,,,,2016/8/24 16:53:08
5980,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,4,288,583,525,370,模板特征,,,,,2016/8/24 16:53:08
5981,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,5,818,583,379,375,模板特征,,,,,2016/8/24 16:53:08
5982,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,6,1203,587,552,371,模板特征,,,,,2016/8/24 16:53:08
5983,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,7,1757,586,503,372,模板特征,,,,,2016/8/24 16:53:08
5984,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,8,1755,956,501,95,模板特征,,,,,2016/8/24 16:53:08
5985,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,9,872,1051,1384,93,模板特征,,,,,2016/8/24 16:53:08
5986,D:\Bill_template\CIQSJ\上海化优CIQSJ20160824142854.jpg,上海化优,,复杂模版,FALSE,FALSE,10,586,1149,583,130,模板特征,,,,,2016/8/24 16:53:08
