ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
5752,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,1,790,279,967,165,模板特征,,,,,2016/8/23 13:45:02
5753,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,2,876,481,754,91,模板特征,,,,,2016/8/23 13:45:02
5754,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,3,134,627,340,44,表体外框,,,,,2016/8/23 13:45:02
5755,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,4,129,676,1169,197,表体外框,,,,,2016/8/23 13:45:02
5756,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,5,134,876,598,49,表体外框,,,,,2016/8/23 13:45:02
5757,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,6,129,914,1169,306,表体外框,,,,,2016/8/23 13:45:02
5758,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,7,1672,1960,401,49,表体外框,,,,,2016/8/23 13:45:02
5759,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,8,1395,2845,883,120,表体外框,,,,,2016/8/23 13:45:02
5760,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,9,1306,1174,1048,688,表体外框,,,,,2016/8/23 13:45:02
5761,D:\Bill_template\FP\上海化优FP20160823115816.jpg,上海化优,,复杂模版,FALSE,FALSE,10,121,1855,538,38,表体外框,,,,,2016/8/23 13:45:02
