ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4012,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,1,338,65,1088,338,模板特征,,,,,2016/4/12 11:07:26
4013,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,2,361,79,1023,191,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/12 11:07:26
4014,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,3,408,426,672,109,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/12 11:07:26
4015,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,4,1257,423,256,42,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/12 11:07:26
4016,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,5,1260,462,239,48,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/12 11:07:26
4017,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,6,552,1327,1032,69,表头框,BIinvoiceHdr,发票表头,sTotalAmount,总计金额货币,2016/4/12 11:07:26
4018,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,7,560,1389,962,40,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/12 11:07:26
4019,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,8,558,1423,907,35,表头框,BIinvoiceHdr,发票表头,sPayTerms,付款方式,2016/4/12 11:07:26
4020,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,9,561,1451,955,93,表头框,BIinvoiceHdr,发票表头,sLcBank,开证行,2016/4/12 11:07:26
4021,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,10,557,1544,1015,166,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/12 11:07:26
4022,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,11,213,743,1345,581,表体外框,,,,,2016/4/12 11:07:26
4023,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,12,230,746,646,545,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/12 11:07:26
4024,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,13,873,745,213,542,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/12 11:07:26
4025,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,14,1085,745,182,539,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/12 11:07:26
4026,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,15,1266,742,258,542,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/12 11:07:26
4027,D:\Bill_template\invoice\AdvanceVIMalaysiainvoice20160412105543.jpg,AdvanceVIMalaysia,invoice,复杂模版,FALSE,FALSE,16,1087,701,178,38,表头框,BIinvoiceHdr,发票表头,sCurrency,币种,2016/4/12 11:07:26
