ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
3417,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,1,158,4148,2239,274,模板特征,,,,,2016/4/6 14:54:16
3418,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,2,158,4137,2244,274,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/6 14:54:16
3419,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,3,355,1089,974,394,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/6 14:54:16
3420,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,4,2342,290,679,147,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/6 14:54:16
3421,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,5,2337,454,678,115,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/6 14:54:16
3422,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,6,129,153,2206,862,模板特征,,,,,2016/4/6 14:54:16
3423,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,7,1977,1363,665,232,表头框,BIinvoiceHdr,发票表头,sCountryOrigin,原产地国,2016/4/6 14:54:16
3424,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,8,1973,1602,675,95,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/6 14:54:16
3425,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,9,2451,1742,607,64,表头框,BIinvoiceHdr,发票表头,sContNo,合同号,2016/4/6 14:54:16
3426,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,10,2444,1813,593,62,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/6 14:54:16
3427,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,11,226,3458,1459,350,表头框,BIinvoiceHdr,发票表头,sLcBank,开证行,2016/4/6 14:54:16
3428,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,12,194,2025,2860,872,表体外框,,,,,2016/4/6 14:54:16
3429,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,13,225,2048,1193,819,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,品名,2016/4/6 14:54:16
3430,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,14,1442,2055,388,818,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,数量单位,2016/4/6 14:54:16
3431,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,15,1844,2055,477,818,表体列,BIinvoiceDtl,发票表体,sUnitPrice,单价,2016/4/6 14:54:16
3432,D:\Bill_template\invoice\FusiteAsiaEmersoninvoice20160406142825.jpg,FusiteAsiaEmerson,invoice,复杂模版,FALSE,FALSE,16,2331,2062,703,811,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/6 14:54:16
