ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
3306,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,1,386,158,2730,697,模板特征,,,,,2016/4/5 9:09:26
3307,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,2,381,172,2618,427,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/5 9:09:26
3308,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,3,556,979,2460,249,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/5 9:09:26
3309,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,4,790,1319,1124,87,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/5 9:09:26
3310,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,5,2166,1308,850,95,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/5 9:09:26
3311,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,6,517,1466,1435,94,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/5 9:09:26
3312,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,7,2166,1455,857,88,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/5 9:09:26
3313,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,8,874,1595,613,77,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/5 9:09:26
3314,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,9,2180,1592,875,87,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/5 9:09:26
3315,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,10,1634,1985,815,97,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/5 9:09:26
3316,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,11,230,2091,2858,2526,表体外框,,,sExporter,,2016/4/5 9:09:26
3317,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,12,286,2127,762,2434,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/5 9:09:26
3318,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,13,1063,2152,537,2424,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/5 9:09:26
3319,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,14,1621,2142,848,2414,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/5 9:09:26
3320,D:\Bill_template\invoice\GoldenSeasoninvoice20160330161341.jpg,GoldenSeason,invoice,复杂模版,FALSE,FALSE,15,2495,2142,547,2434,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/5 9:09:26
