ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4877,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,1,400,204,2444,453,模板特征,,,,,2016/4/22 22:38:42
4878,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,2,380,228,2475,254,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/22 22:38:42
4879,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,3,403,692,1932,97,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/22 22:38:42
4880,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,4,2826,876,398,106,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/22 22:38:42
4881,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,5,2721,990,435,114,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/22 22:38:42
4882,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,6,111,1309,1423,82,表头框,BIinvoiceHdr,发票表头,sCommoditry,产品,2016/4/22 22:38:42
4883,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,7,2358,1292,734,93,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/22 22:38:42
4884,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,8,5,1410,3275,3059,表体外框,,,,,2016/4/22 22:38:42
4885,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,9,102,1415,170,2980,表体列,BIinvoiceDtl,发票表体,sGoodsNo,,2016/4/22 22:38:42
4886,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,10,267,1415,551,3008,表体列,BIinvoiceDtl,发票表体,sProductCode,,2016/4/22 22:38:42
4887,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,11,818,1410,876,3019,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/22 22:38:42
4888,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,12,1700,1415,500,2991,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/22 22:38:42
4889,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,13,2200,1415,421,3025,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/22 22:38:42
4890,D:\Bill_template\invoice\GrandPointInternational+1invoice20160422172510.jpg,GrandPointInternational+1,invoice,复杂模版,TRUE,FALSE,14,2626,1415,467,3059,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/22 22:38:42
