ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4637,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,1,1033,334,1198,283,模板特征,,,,,2016/4/13 16:35:28
4638,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,2,255,535,1389,430,模板特征,,,,,2016/4/13 16:35:28
4639,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,3,245,617,1396,345,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 16:35:28
4640,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,4,262,1043,1368,301,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 16:35:28
4641,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,5,255,1439,1389,287,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/13 16:35:28
4642,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,6,252,1815,693,129,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/13 16:35:28
4643,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,7,955,1811,682,133,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/13 16:35:28
4644,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,8,259,2026,689,164,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 16:35:28
4645,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,9,955,2029,682,161,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 16:35:28
4646,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,10,1647,617,1385,92,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/13 16:35:28
4647,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,11,1647,791,1392,102,表头框,BIinvoiceHdr,发票表头,sLCNoAdnData,信用证号与日期,2016/4/13 16:35:28
4648,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,12,1644,985,1392,273,表头框,BIinvoiceHdr,发票表头,sLcBank,开证行,2016/4/13 16:35:28
4649,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,13,1644,1347,1395,839,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/13 16:35:28
4650,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,14,2330,2323,426,116,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/13 16:35:28
4651,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,15,225,2296,2900,2343,表体外框,,,,,2016/4/13 16:35:28
4652,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,16,245,2292,529,2334,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/13 16:35:28
4653,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,17,805,2340,1156,2286,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 16:35:28
4654,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,18,1961,2463,379,2166,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 16:35:28
4655,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,19,2337,2459,354,2180,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 16:35:28
4656,D:\Bill_template\invoice\LGHausysLTDinvoice20160413162851.jpg,LGHausysLTD,invoice,复杂模版,FALSE,FALSE,20,2684,2456,444,2166,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 16:35:28
