ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4670,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,1,95,75,2037,440,模板特征,,,,,2016/4/13 16:47:42
4671,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,2,109,64,1644,147,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 16:47:42
4672,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,3,917,661,2047,99,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 16:47:42
4673,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,4,126,491,706,102,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/13 16:47:42
4674,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,5,2470,402,487,99,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 16:47:42
4675,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,6,2528,504,423,79,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/13 16:47:42
4676,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,7,1944,907,976,89,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 16:47:42
4677,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,8,607,1006,573,78,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 16:47:42
4678,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,9,1347,1003,758,85,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/13 16:47:42
4679,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,10,2231,1006,730,82,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/13 16:47:42
4680,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,11,569,1084,1344,82,表头框,BIinvoiceHdr,发票表头,sLCNo,信用证号,2016/4/13 16:47:42
4681,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,12,2241,1091,710,65,表头框,BIinvoiceHdr,发票表头,sContNo,合同号,2016/4/13 16:47:42
4682,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,13,2203,1398,720,86,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/13 16:47:42
4683,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,14,31,1491,3255,3160,表体外框,,,,,2016/4/13 16:47:42
4684,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,15,117,1496,563,3105,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/13 16:47:42
4685,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,16,689,1496,1001,3137,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 16:47:42
4686,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,17,1704,1491,372,3133,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 16:47:42
4687,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,18,2076,1482,390,3133,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 16:47:42
4688,D:\Bill_template\invoice\LiDaSingPetroChemicalCoinvoice20160413163628.jpg,LiDaSingPetroChemicalCo,invoice,复杂模版,FALSE,FALSE,19,2470,1496,658,3114,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 16:47:42
