ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
3671,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,1,111,98,1450,333,模板特征,,,,,2016/4/11 13:55:28
3672,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,2,368,111,1155,248,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/11 13:55:28
3673,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,3,68,488,874,274,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/11 13:55:28
3674,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,4,1144,464,441,31,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/11 13:55:28
3675,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,5,1146,494,437,29,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/11 13:55:28
3676,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,6,1144,524,432,39,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/11 13:55:28
3677,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,7,1143,564,438,35,表头框,BIinvoiceHdr,发票表头,sPayTerms,付款方式,2016/4/11 13:55:28
3678,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,8,1143,598,428,38,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/11 13:55:28
3679,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,9,265,789,661,35,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/11 13:55:28
3680,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,10,275,824,652,31,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/11 13:55:28
3681,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,11,273,854,631,33,表头框,BIinvoiceHdr,发票表头,sFinalDesti,最终目的地,2016/4/11 13:55:28
3682,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,12,1161,793,419,28,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/11 13:55:28
3683,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,13,1177,827,416,32,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/11 13:55:28
3684,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,14,496,1764,406,27,表头框,BIinvoiceHdr,发票表头,sLCNo,信用证号,2016/4/11 13:55:28
3685,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,15,588,1791,312,27,表头框,BIinvoiceHdr,发票表头,sContNo,合同号,2016/4/11 13:55:28
3686,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,16,397,988,500,34,表头框,BIinvoiceHdr,发票表头,sCommoditry,产品,2016/4/11 13:55:28
3687,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,17,74,1019,1513,798,表体外框,,,,,2016/4/11 13:55:28
3688,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,18,76,1022,316,1141,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/11 13:55:28
3689,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,19,394,1019,515,1127,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/11 13:55:28
3690,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,20,901,1021,202,1094,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/11 13:55:28
3691,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,21,1103,1022,192,1121,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/11 13:55:28
3692,D:\Bill_template\invoice\MitsuiElastomersinvoice20160411104759.jpg,MitsuiElastomers,invoice,复杂模版,FALSE,FALSE,22,1300,1021,287,1141,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/11 13:55:28
