ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4426,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,1,395,123,726,270,模板特征,,,,,2016/4/13 11:11:15
4427,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,2,84,585,272,247,模板特征,,,,,2016/4/13 11:11:15
4428,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,3,414,121,716,161,表头框,BIPackingListHdr,箱单表头,sExporter,供应商或卖方,2016/4/13 11:11:15
4429,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,4,192,423,1246,127,表头框,BIPackingListHdr,箱单表头,sConsignee,收货人或买方,2016/4/13 11:11:15
4430,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,5,313,580,519,56,表头框,BIPackingListHdr,箱单表头,sInvoNO,发票号,2016/4/13 11:11:15
4431,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,6,1013,578,415,55,表头框,BIPackingListHdr,箱单表头,sInvoData,发票日期,2016/4/13 11:11:15
4432,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,7,305,645,620,49,表头框,BIPackingListHdr,箱单表头,sLoadPort,装船港,2016/4/13 11:11:15
4433,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,8,1012,641,426,59,表头框,BIPackingListHdr,箱单表头,sDiskPort,卸货港,2016/4/13 11:11:15
4434,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,9,361,701,342,53,表头框,BIPackingListHdr,箱单表头,sSailingOnOrAbout,装船日期,2016/4/13 11:11:15
4435,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,10,1012,705,414,53,表头框,BIPackingListHdr,箱单表头,sCarrier,承运方,2016/4/13 11:11:15
4436,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,11,52,819,1402,1367,表体外框,,,,,2016/4/13 11:11:15
4437,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,12,59,832,466,1351,表体列,BIPackingListDtl,箱单表体,sGoodsDesc,品名,2016/4/13 11:11:15
4438,D:\Bill_template\PackingList\ModernSkill2PackingList20160413105705.jpg,ModernSkill2,PackingList,复杂模版,FALSE,FALSE,13,530,834,224,1333,表体列,BIPackingListDtl,箱单表体,sUnitAndQuan,,2016/4/13 11:11:15
