ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4410,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,1,405,148,728,358,模板特征,,,,,2016/4/13 10:56:26
4411,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,2,98,682,289,282,模板特征,,,,,2016/4/13 10:56:26
4412,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,3,426,178,714,144,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 10:56:26
4413,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,4,234,544,1208,119,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 10:56:26
4414,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,5,329,700,552,42,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/13 10:56:26
4415,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,6,1015,700,473,54,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 10:56:26
4416,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,7,296,763,606,48,表头框,BIinvoiceHdr,发票表头,sLoadPort,装船港,2016/4/13 10:56:26
4417,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,8,1015,765,485,53,表头框,BIinvoiceHdr,发票表头,sDiskPort,卸货港,2016/4/13 10:56:26
4418,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,9,386,823,287,49,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 10:56:26
4419,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,10,1012,825,432,47,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 10:56:26
4420,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,11,775,998,372,82,表头框,BIinvoiceHdr,发票表头,sCommoditry,产品,2016/4/13 10:56:26
4421,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,12,79,1065,1393,1128,表体外框,,,,,2016/4/13 10:56:26
4422,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,13,89,1089,454,1072,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,品名,2016/4/13 10:56:26
4423,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,14,546,1091,214,1070,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,数量单位,2016/4/13 10:56:26
4424,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,15,758,1089,402,1067,表体列,BIinvoiceDtl,发票表体,sUnitPrice,单价,2016/4/13 10:56:26
4425,D:\Bill_template\invoice\ModernSkill2invoice20160413103450.jpg,ModernSkill2,invoice,复杂模版,FALSE,FALSE,16,1162,1093,282,1054,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 10:56:26
4322,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,1,902,423,1574,449,模板特征,,,sExporter,,2016/4/13 9:42:17
4323,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,2,902,463,1620,247,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 9:42:17
4324,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,3,305,1003,2333,329,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 9:42:17
4325,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,4,744,1403,1037,88,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/13 9:42:17
4326,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,5,1994,1400,607,122,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 9:42:17
4327,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,6,860,1488,610,85,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/13 9:42:17
4328,D:\Bill_template\invoice\ModernSkillinvoice20160401152045.jpg,ModernSkill,invoice,复杂模版,FALSE,FALSE,7,576,1570,1092,89,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 9:42:17
