ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4441,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,1,388,443,1884,242,模板特征,,,,,2016/4/13 13:26:36
4442,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,2,405,627,1300,505,模板特征,,,,,2016/4/13 13:26:36
4443,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,3,395,689,1310,443,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 13:26:36
4444,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,4,392,1211,1313,569,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 13:26:36
4445,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,5,392,1855,1310,635,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/13 13:26:36
4446,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,6,392,2548,361,89,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 13:26:36
4447,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,7,760,2551,853,82,表头框,BIinvoiceHdr,发票表头,sLoadPort,,2016/4/13 13:26:36
4448,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,8,388,2684,365,93,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 13:26:36
4449,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,9,753,2691,874,79,表头框,BIinvoiceHdr,发票表头,sDiskPort,,2016/4/13 13:26:36
4450,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,10,1709,689,1286,228,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/13 13:26:36
4451,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,11,1702,975,1283,157,表头框,BIinvoiceHdr,发票表头,sPONo,订单号,2016/4/13 13:26:36
4452,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,12,1705,1197,1283,1583,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/13 13:26:36
4453,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,13,351,2773,2777,1887,表体外框,,,,,2016/4/13 13:26:36
4454,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,14,402,2794,338,1862,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,序号,2016/4/13 13:26:36
4455,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,15,757,2797,918,1819,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,数量,2016/4/13 13:26:36
4456,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,16,1712,2807,396,1829,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,单位,2016/4/13 13:26:36
4457,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,17,2118,2814,379,1822,表体列,BIinvoiceDtl,发票表体,sUnitPrice,其他,2016/4/13 13:26:36
4458,D:\Bill_template\invoice\OneGeneElecinvoice20160413131953.jpg,OneGeneElec,invoice,复杂模版,FALSE,FALSE,18,2507,2814,522,1805,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 13:26:36
