ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4568,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,1,194,187,1894,594,模板特征,,,,,2016/4/13 15:01:55
4569,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,2,293,781,1362,239,模板特征,,,,,2016/4/13 15:01:55
4570,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,3,317,904,1457,150,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/13 15:01:55
4571,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,4,310,1119,1461,317,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/13 15:01:55
4572,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,5,1812,1115,1119,321,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/13 15:01:55
4573,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,6,2150,897,402,82,表头框,BIinvoiceHdr,发票表头,sInvoNO,发票号,2016/4/13 15:01:55
4574,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,7,2549,897,389,82,表头框,BIinvoiceHdr,发票表头,sInvoData,发票日期,2016/4/13 15:01:55
4575,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,8,320,1586,533,103,表头框,BIinvoiceHdr,发票表头,sLoadPort,装船港,2016/4/13 15:01:55
4576,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,9,842,1583,523,102,表头框,BIinvoiceHdr,发票表头,sDiskPort,卸货港,2016/4/13 15:01:55
4577,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,10,1358,1580,1201,99,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/13 15:01:55
4578,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,11,2563,1580,382,92,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/13 15:01:55
4579,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,12,600,1795,1205,116,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/13 15:01:55
4580,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,13,277,1903,2762,2766,表体外框,,,,,2016/4/13 15:01:55
4581,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,14,322,1921,273,2694,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,麦码标记，包装编号和标记。常用内容：N/M,2016/4/13 15:01:55
4582,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,15,595,1917,1217,2675,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,品名,2016/4/13 15:01:55
4583,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,16,1817,1907,349,2740,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,数量单位,2016/4/13 15:01:55
4584,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,17,2162,1903,400,2730,表体列,BIinvoiceDtl,发票表体,sUnitPrice,单价,2016/4/13 15:01:55
4585,D:\Bill_template\invoice\QuestConstructionProdecutsinvoice20160413144138.jpg,QuestConstructionProdecuts,invoice,复杂模版,FALSE,FALSE,18,2562,1917,390,2693,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/13 15:01:55
