ID,路径,公司名称,单证类型,模板类型,多页标记,纯表格,坐标序号,X坐标,Y坐标,宽度,高度,坐标特征,数据属性.表名,数据属性.表名(中文),数据属性.列名,数据属性.列名(中文),创建时间
4187,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,1,170,149,3012,294,模板特征,,,,,2016/4/12 14:56:03
4188,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,2,176,453,1450,385,模板特征,,,,,2016/4/12 14:56:03
4189,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,3,195,527,1419,314,表头框,BIinvoiceHdr,发票表头,sExporter,供应商或卖方,2016/4/12 14:56:03
4190,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,4,195,915,1422,385,表头框,BIinvoiceHdr,发票表头,sConsignee,收货人或买方,2016/4/12 14:56:03
4191,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,5,195,1384,1422,385,表头框,BIinvoiceHdr,发票表头,sNotifyParty,被通知方,2016/4/12 14:56:03
4192,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,6,1633,506,1537,99,表头框,BIinvoiceHdr,发票表头,sInvoNoAdnData,发票号发票日期,2016/4/12 14:56:03
4193,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,7,1633,667,1540,96,表头框,BIinvoiceHdr,发票表头,sLCNo,信用证号,2016/4/12 14:56:03
4194,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,8,1630,825,1543,94,表头框,BIinvoiceHdr,发票表头,sPayTerms,付款方式,2016/4/12 14:56:03
4195,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,9,1630,987,1549,1080,表头框,BIinvoiceHdr,发票表头,sRemark,备注,2016/4/12 14:56:03
4196,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,10,192,1838,691,90,表头框,BIinvoiceHdr,发票表头,sLoadPort,装船港,2016/4/12 14:56:03
4197,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,11,896,1833,642,95,表头框,BIinvoiceHdr,发票表头,sFinalDesti,最终目的地,2016/4/12 14:56:03
4198,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,12,184,1992,701,90,表头框,BIinvoiceHdr,发票表头,sCarrier,承运方,2016/4/12 14:56:03
4199,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,13,898,1982,712,90,表头框,BIinvoiceHdr,发票表头,sSailingOnOrAbout,装船日期,2016/4/12 14:56:03
4200,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,14,1897,2213,909,90,表头框,BIinvoiceHdr,发票表头,sTradeTerms,CIF等成交方式，有些有标题有些无标,2016/4/12 14:56:03
4201,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,15,146,2184,3045,2484,表体外框,,,,,2016/4/12 14:56:03
4202,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,16,150,2242,737,2392,表体列,BIinvoiceDtl,发票表体,sMarksNoPkgs,麦码标记，包装编号和标记。常用内容：N/M,2016/4/12 14:56:03
4203,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,17,880,2238,747,2420,表体列,BIinvoiceDtl,发票表体,sGoodsDesc,品名,2016/4/12 14:56:03
4204,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,18,1627,2324,509,2314,表体列,BIinvoiceDtl,发票表体,sUnitAndQuan,数量单位,2016/4/12 14:56:03
4205,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,19,2133,2320,535,2318,表体列,BIinvoiceDtl,发票表体,sUnitPrice,单价,2016/4/12 14:56:03
4206,D:\Bill_template\invoice\SamSungCTJapaninvoice20160412144808.jpg,SamSungCTJapan,invoice,复杂模版,FALSE,FALSE,20,2662,2320,525,2321,表体列,BIinvoiceDtl,发票表体,sAmount,金额,2016/4/12 14:56:03
